codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
110001;110001 ALTA FLORESTA D'OESTE;34;23;6;5;43;29;10;4;26%;26%;67%;-20%
110002;110002 ARIQUEMES;113;42;49;22;185;100;65;20;64%;138%;33%;-9%
110003;110003 CABIXI;11;8;2;1;16;11;3;2;45%;38%;50%;100%
110004;110004 CACOAL;313;240;62;11;471;381;78;12;50%;59%;26%;9%
110005;110005 CEREJEIRAS;28;17;9;2;30;17;10;3;7%;0%;11%;50%
110006;110006 COLORADO DO OESTE;18;11;5;2;19;12;5;2;6%;9%;0%;0%
110007;110007 CORUMBIARA;11;7;1;3;17;13;3;1;55%;86%;200%;-67%
110008;110008 COSTA MARQUES;7;4;2;1;9;4;4;1;29%;0%;100%;0%
110009;110009 ESPIGAO D'OESTE;37;22;11;4;45;29;11;5;22%;32%;0%;25%
110010;110010 GUAJARA-MIRIM;37;25;8;4;53;39;10;4;43%;56%;25%;0%
110011;110011 JARU;122;95;22;5;167;126;36;5;37%;33%;64%;0%
110012;110012 JI-PARANA;381;308;64;9;550;446;91;13;44%;45%;42%;44%
110013;110013 MACHADINHO D'OESTE;26;16;5;5;35;17;13;5;35%;6%;160%;0%
110014;110014 NOVA BRASILANDIA D'OESTE;22;12;8;2;32;22;8;2;45%;83%;0%;0%
110015;110015 OURO PRETO DO OESTE;58;28;24;6;132;89;36;7;128%;218%;50%;17%
110018;110018 PIMENTA BUENO;115;88;22;5;147;116;26;5;28%;32%;18%;0%
110020;110020 PORTO VELHO;765;455;271;39;1196;837;298;61;56%;84%;10%;56%
110025;110025 PRESIDENTE MEDICI;27;16;10;1;40;29;8;3;48%;81%;-20%;200%
110026;110026 RIO CRESPO;5;3;0;2;6;3;1;2;20%;0%;100%;0%
110028;110028 ROLIM DE MOURA;116;82;28;6;175;117;53;5;51%;43%;89%;-17%
110029;110029 SANTA LUZIA D'OESTE;11;8;1;2;14;8;3;3;27%;0%;200%;50%
110030;110030 VILHENA;266;179;82;5;415;243;166;6;56%;36%;102%;20%
110032;110032 SAO MIGUEL DO GUAPORE;20;13;5;2;71;54;13;4;255%;315%;160%;100%
110033;110033 NOVA MAMORE;15;8;5;2;21;11;8;2;40%;38%;60%;0%
110034;110034 ALVORADA D'OESTE;20;15;4;1;36;25;9;2;80%;67%;125%;100%
110037;110037 ALTO ALEGRE DOS PARECIS;12;9;1;2;27;19;5;3;125%;111%;400%;50%
110040;110040 ALTO PARAISO;14;7;5;2;21;13;6;2;50%;86%;20%;0%
110045;110045 BURITIS;34;18;10;6;44;24;13;7;29%;33%;30%;17%
110050;110050 NOVO HORIZONTE DO OESTE;6;3;1;2;7;3;1;3;17%;0%;0%;50%
110060;110060 CACAULANDIA;6;4;1;1;9;6;1;2;50%;50%;0%;100%
110070;110070 CAMPO NOVO DE RONDONIA;12;8;1;3;15;8;4;3;25%;0%;300%;0%
110080;110080 CANDEIAS DO JAMARI;13;8;4;1;21;13;7;1;62%;63%;75%;0%
110090;110090 CASTANHEIRAS;6;3;2;1;9;4;4;1;50%;33%;100%;0%
110092;110092 CHUPINGUAIA;17;12;4;1;24;17;5;2;41%;42%;25%;100%
110094;110094 CUJUBIM;12;5;3;4;13;7;2;4;8%;40%;-33%;0%
110100;110100 GOVERNADOR JORGE TEIXEIRA;12;7;4;1;10;5;4;1;-17%;-29%;0%;0%
110110;110110 ITAPUA DO OESTE;7;4;1;2;11;5;4;2;57%;25%;300%;0%
110120;110120 MINISTRO ANDREAZZA;8;4;3;1;12;8;2;2;50%;100%;-33%;100%
110130;110130 MIRANTE DA SERRA;11;6;3;2;14;8;4;2;27%;33%;33%;0%
110140;110140 MONTE NEGRO;14;10;2;2;24;17;4;3;71%;70%;100%;50%
110143;110143 NOVA UNIAO;6;3;2;1;11;5;3;3;83%;67%;50%;200%
110145;110145 PARECIS;5;3;1;1;8;4;3;1;60%;33%;200%;0%
110146;110146 PIMENTEIRAS DO OESTE;5;2;2;1;6;2;2;2;20%;0%;0%;100%
110147;110147 PRIMAVERA DE RONDONIA;3;2;0;1;5;3;1;1;67%;50%;100%;0%
110148;110148 SAO FELIPE D'OESTE;7;4;2;1;8;3;3;2;14%;-25%;50%;100%
110149;110149 SAO FRANCISCO DO GUAPORE;18;11;5;2;29;18;6;5;61%;64%;20%;150%
110150;110150 SERINGUEIRAS;8;6;0;2;22;17;2;3;175%;183%;100%;50%
110155;110155 TEIXEIROPOLIS;7;3;3;1;6;3;2;1;-14%;0%;-33%;0%
110160;110160 THEOBROMA;11;7;3;1;12;8;2;2;9%;14%;-33%;100%
110170;110170 URUPA;10;6;2;2;17;13;2;2;70%;117%;0%;0%
110175;110175 VALE DO ANARI;11;5;4;2;11;7;2;2;0%;40%;-50%;0%
110180;110180 VALE DO PARAISO;6;3;2;1;9;5;3;1;50%;67%;50%;0%
120001;120001 ACRELANDIA;12;7;3;2;16;8;6;2;33%;14%;100%;0%
120005;120005 ASSIS BRASIL;11;7;2;2;11;6;3;2;0%;-14%;50%;0%
120010;120010 BRASILEIA;19;11;4;4;24;14;6;4;26%;27%;50%;0%
120013;120013 BUJARI;8;5;1;2;10;6;2;2;25%;20%;100%;0%
120017;120017 CAPIXABA;8;5;1;2;13;9;2;2;63%;80%;100%;0%
120020;120020 CRUZEIRO DO SUL;92;59;21;12;128;74;41;13;39%;25%;95%;8%
120025;120025 EPITACIOLANDIA;12;8;2;2;16;11;3;2;33%;38%;50%;0%
120030;120030 FEIJO;16;12;1;3;18;13;2;3;13%;8%;100%;0%
120032;120032 JORDAO;8;6;1;1;10;6;3;1;25%;0%;200%;0%
120033;120033 MANCIO LIMA;20;14;3;3;25;17;5;3;25%;21%;67%;0%
120034;120034 MANOEL URBANO;6;4;1;1;11;7;2;2;83%;75%;100%;100%
120035;120035 MARECHAL THAUMATURGO;11;8;2;1;15;11;3;1;36%;38%;50%;0%
120038;120038 PLACIDO DE CASTRO;15;9;2;4;20;13;3;4;33%;44%;50%;0%
120039;120039 PORTO WALTER;9;6;2;1;14;10;3;1;56%;67%;50%;0%
120040;120040 RIO BRANCO;484;371;84;29;832;644;154;34;72%;74%;83%;17%
120042;120042 RODRIGUES ALVES;13;8;3;2;20;14;4;2;54%;75%;33%;0%
120043;120043 SANTA ROSA DO PURUS;7;5;1;1;11;8;2;1;57%;60%;100%;0%
120045;120045 SENADOR GUIOMARD;19;16;0;3;18;11;3;4;-5%;-31%;100%;33%
120050;120050 SENA MADUREIRA;34;25;6;3;41;27;11;3;21%;8%;83%;0%
120060;120060 TARAUACA;20;13;4;3;32;18;11;3;60%;38%;175%;0%
120070;120070 XAPURI;13;8;2;3;20;13;4;3;54%;63%;100%;0%
120080;120080 PORTO ACRE;10;8;0;2;13;10;1;2;30%;25%;100%;0%
130002;130002 ALVARAES;14;10;2;2;14;10;2;2;0%;0%;0%;0%
130006;130006 AMATURA;11;9;0;2;13;10;1;2;18%;11%;100%;0%
130008;130008 ANAMA;11;9;0;2;16;13;1;2;45%;44%;100%;0%
130010;130010 ANORI;5;3;0;2;9;6;1;2;80%;100%;100%;0%
130014;130014 APUI;11;6;3;2;15;10;3;2;36%;67%;0%;0%
130020;130020 ATALAIA DO NORTE;18;16;0;2;46;43;1;2;156%;169%;100%;0%
130030;130030 AUTAZES;23;18;3;2;24;18;4;2;4%;0%;33%;0%
130040;130040 BARCELOS;17;14;1;2;32;30;0;2;88%;114%;-100%;0%
130050;130050 BARREIRINHA;20;18;0;2;22;19;1;2;10%;6%;100%;0%
130060;130060 BENJAMIN CONSTANT;19;13;2;4;25;17;4;4;32%;31%;100%;0%
130063;130063 BERURI;7;5;0;2;9;7;0;2;29%;40%;100%;0%
130068;130068 BOA VISTA DO RAMOS;6;4;0;2;11;8;1;2;83%;100%;100%;0%
130070;130070 BOCA DO ACRE;13;9;2;2;20;12;6;2;54%;33%;200%;0%
130080;130080 BORBA;17;13;1;3;17;14;1;2;0%;8%;0%;-33%
130083;130083 CAAPIRANGA;7;5;0;2;9;6;1;2;29%;20%;100%;0%
130090;130090 CANUTAMA;4;2;0;2;5;3;0;2;25%;50%;100%;0%
130100;130100 CARAUARI;17;11;4;2;17;12;3;2;0%;9%;-25%;0%
130110;130110 CAREIRO;15;12;0;3;24;19;2;3;60%;58%;100%;0%
130115;130115 CAREIRO DA VARZEA;17;16;0;1;20;17;1;2;18%;6%;100%;100%
130120;130120 COARI;28;18;7;3;39;23;13;3;39%;28%;86%;0%
130130;130130 CODAJAS;10;7;1;2;16;10;4;2;60%;43%;300%;0%
130140;130140 EIRUNEPE;13;8;3;2;16;9;5;2;23%;13%;67%;0%
130150;130150 ENVIRA;7;5;0;2;8;6;0;2;14%;20%;100%;0%
130160;130160 FONTE BOA;9;6;1;2;12;9;0;3;33%;50%;-100%;50%
130165;130165 GUAJARA;10;7;1;2;13;9;2;2;30%;29%;100%;0%
130170;130170 HUMAITA;50;39;9;2;61;46;12;3;22%;18%;33%;50%
130180;130180 IPIXUNA;10;8;0;2;15;13;0;2;50%;63%;100%;0%
130185;130185 IRANDUBA;23;19;2;2;33;24;6;3;43%;26%;200%;50%
130190;130190 ITACOATIARA;44;23;16;5;58;31;23;4;32%;35%;44%;-20%
130195;130195 ITAMARATI;7;5;1;1;9;7;0;2;29%;40%;-100%;100%
130200;130200 ITAPIRANGA;8;5;1;2;10;6;2;2;25%;20%;100%;0%
130210;130210 JAPURA;9;6;1;2;10;7;1;2;11%;17%;0%;0%
130220;130220 JURUA;5;3;0;2;6;4;1;1;20%;33%;100%;-50%
130230;130230 JUTAI;11;6;1;4;13;8;1;4;18%;33%;0%;0%
130240;130240 LABREA;27;22;4;1;39;28;9;2;44%;27%;125%;100%
130250;130250 MANACAPURU;30;20;5;5;45;31;10;4;50%;55%;100%;-20%
130255;130255 MANAQUIRI;9;5;2;2;12;7;3;2;33%;40%;50%;0%
130260;130260 MANAUS;1326;848;342;136;1624;980;482;162;22%;16%;41%;19%
130270;130270 MANICORE;16;12;2;2;28;21;5;2;75%;75%;150%;0%
130280;130280 MARAA;13;11;0;2;12;10;0;2;-8%;-9%;100%;0%
130290;130290 MAUES;22;16;4;2;37;27;8;2;68%;69%;100%;0%
130300;130300 NHAMUNDA;14;11;1;2;21;18;1;2;50%;64%;0%;0%
130310;130310 NOVA OLINDA DO NORTE;21;15;4;2;27;18;7;2;29%;20%;75%;0%
130320;130320 NOVO AIRAO;7;5;0;2;7;5;0;2;0%;0%;100%;0%
130330;130330 NOVO ARIPUANA;9;6;1;2;13;8;3;2;44%;33%;200%;0%
130340;130340 PARINTINS;48;30;13;5;71;44;19;8;48%;47%;46%;60%
130350;130350 PAUINI;10;7;2;1;9;6;1;2;-10%;-14%;-50%;100%
130353;130353 PRESIDENTE FIGUEIREDO;36;29;3;4;37;28;4;5;3%;-3%;33%;25%
130356;130356 RIO PRETO DA EVA;21;15;3;3;30;24;3;3;43%;60%;0%;0%
130360;130360 SANTA ISABEL DO RIO NEGRO;10;8;0;2;23;20;1;2;130%;150%;100%;0%
