codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
110001;110001 ALTA FLORESTA D'OESTE;34;23;6;5;6;3;5;-;-;1;-;-;7;1;-;-;-;-;-;-;1;4;-;-;-;1;-;-;-;-;-;2;-;-;-;2;1;-;-;-
110002;110002 ARIQUEMES;113;42;49;22;-;13;22;-;-;2;4;1;-;-;-;-;1;-;-;-;32;13;-;-;-;1;1;1;-;-;-;9;1;6;-;3;1;1;1;-
110003;110003 CABIXI;11;8;2;1;2;1;1;-;-;1;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
110004;110004 CACOAL;313;240;62;11;1;10;174;-;1;41;2;-;11;-;-;-;5;-;1;-;39;14;-;-;-;1;-;2;-;-;-;8;-;-;-;2;1;-;-;-
110005;110005 CEREJEIRAS;28;17;9;2;2;4;4;-;-;6;1;-;-;-;-;-;-;-;-;-;4;4;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110006;110006 COLORADO DO OESTE;18;11;5;2;1;4;4;-;-;1;1;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110007;110007 CORUMBIARA;11;7;1;3;3;-;1;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-
110008;110008 COSTA MARQUES;7;4;2;1;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110009;110009 ESPIGAO D'OESTE;37;22;11;4;7;2;11;-;-;-;2;-;-;-;-;-;-;1;-;-;5;4;-;-;-;1;-;-;-;-;-;2;-;-;-;1;1;-;-;-
110010;110010 GUAJARA-MIRIM;37;25;8;4;4;5;7;-;1;-;2;-;5;-;-;1;-;-;-;-;-;7;-;-;-;1;-;-;-;-;-;2;-;-;-;1;1;-;-;-
110011;110011 JARU;122;95;22;5;2;10;55;-;-;22;3;-;3;-;-;-;-;-;-;-;11;9;-;-;-;1;-;-;-;-;1;3;-;-;-;1;-;-;1;-
110012;110012 JI-PARANA;381;308;64;9;-;15;210;-;2;65;7;-;7;2;-;-;4;-;-;-;25;28;1;-;1;2;-;2;-;1;-;4;1;-;-;2;1;-;1;-
110013;110013 MACHADINHO D'OESTE;26;16;5;5;-;7;5;-;-;2;2;-;-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;1;-;2;-;1;1;-;-;-
110014;110014 NOVA BRASILANDIA D'OESTE;22;12;8;2;-;3;8;-;-;-;1;-;-;-;-;-;-;-;-;-;3;5;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110015;110015 OURO PRETO DO OESTE;58;28;24;6;13;3;8;-;-;2;2;-;-;-;-;-;-;-;-;-;14;9;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;1;-
110018;110018 PIMENTA BUENO;115;88;22;5;1;6;46;-;-;29;6;-;-;-;-;-;2;-;-;-;9;9;-;-;-;1;-;-;-;-;1;2;-;-;-;2;-;-;1;-
110020;110020 PORTO VELHO;765;455;271;39;14;44;365;1;6;16;4;-;5;-;-;-;3;-;-;-;170;83;2;-;3;4;4;1;-;-;1;14;6;8;1;2;2;1;4;1
110025;110025 PRESIDENTE MEDICI;27;16;10;1;3;6;3;-;-;2;1;-;-;-;-;1;2;1;-;-;2;3;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-
110026;110026 RIO CRESPO;5;3;0;2;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110028;110028 ROLIM DE MOURA;116;82;28;6;3;8;67;-;-;1;2;-;-;-;-;1;3;-;-;-;8;16;-;-;-;1;-;-;-;-;-;3;-;-;-;1;1;-;1;-
110029;110029 SANTA LUZIA D'OESTE;11;8;1;2;1;2;1;-;-;1;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110030;110030 VILHENA;266;179;82;5;6;7;158;-;-;3;3;-;2;-;-;-;-;-;-;-;47;27;1;-;1;1;-;3;-;1;1;2;-;-;-;2;-;-;1;-
110032;110032 SAO MIGUEL DO GUAPORE;20;13;5;2;2;3;7;-;-;-;1;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110033;110033 NOVA MAMORE;15;8;5;2;2;3;1;-;-;-;2;-;-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110034;110034 ALVORADA D'OESTE;20;15;4;1;2;4;7;-;-;1;1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110037;110037 ALTO ALEGRE DOS PARECIS;12;9;1;2;-;6;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110040;110040 ALTO PARAISO;14;7;5;2;-;3;3;-;-;1;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110045;110045 BURITIS;34;18;10;6;-;5;8;-;-;2;3;-;-;-;-;-;1;-;-;-;1;7;-;-;-;1;-;-;-;-;-;3;-;2;-;1;-;-;-;-
110050;110050 NOVO HORIZONTE DO OESTE;6;3;1;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
110060;110060 CACAULANDIA;6;4;1;1;2;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110070;110070 CAMPO NOVO DE RONDONIA;12;8;1;3;-;4;1;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-
110080;110080 CANDEIAS DO JAMARI;13;8;4;1;-;5;1;-;-;-;2;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110090;110090 CASTANHEIRAS;6;3;2;1;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
110092;110092 CHUPINGUAIA;17;12;4;1;-;4;4;-;-;1;2;1;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110094;110094 CUJUBIM;12;5;3;4;-;1;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
110100;110100 GOVERNADOR JORGE TEIXEIRA;12;7;4;1;2;4;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-
110110;110110 ITAPUA DO OESTE;7;4;1;2;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110120;110120 MINISTRO ANDREAZZA;8;4;3;1;-;1;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
110130;110130 MIRANTE DA SERRA;11;6;3;2;-;2;2;-;-;1;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110140;110140 MONTE NEGRO;14;10;2;2;-;7;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110143;110143 NOVA UNIAO;6;3;2;1;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110145;110145 PARECIS;5;3;1;1;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110146;110146 PIMENTEIRAS DO OESTE;5;2;2;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
110147;110147 PRIMAVERA DE RONDONIA;3;2;0;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110148;110148 SAO FELIPE D'OESTE;7;4;2;1;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110149;110149 SAO FRANCISCO DO GUAPORE;18;11;5;2;-;6;3;-;-;-;1;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
