codmun6;estabelecimentomunicipio-jul2023;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRO DE IMUNIZACAO;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE ABASTECIMENTO;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
110001;110001 ALTA FLORESTA D'OESTE;43;29;10;4;6;4;9;-;-;1;1;-;7;1;-;-;-;-;-;-;-;1;6;-;-;-;1;-;-;-;-;1;1;2;-;-;-;1;1;-;-;-
110002;110002 ARIQUEMES;185;100;65;20;-;14;72;-;-;7;4;1;-;-;-;-;2;1;-;-;-;43;15;-;-;-;1;1;1;-;-;-;3;9;1;5;-;2;1;1;1;-
110003;110003 CABIXI;16;11;3;2;-;2;3;-;-;3;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;1;-;-;-;-
110004;110004 CACOAL;471;381;78;12;1;12;297;-;2;52;3;-;12;1;-;-;1;5;-;1;-;47;18;-;-;-;1;1;3;-;-;-;2;7;-;-;-;2;3;-;-;-
110005;110005 CEREJEIRAS;30;17;10;3;-;4;9;-;-;1;2;-;-;1;-;-;-;-;-;-;-;3;5;-;-;-;1;-;-;-;-;1;-;1;-;-;-;1;1;-;-;-
110006;110006 COLORADO DO OESTE;19;12;5;2;-;5;5;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
110007;110007 CORUMBIARA;17;13;3;1;-;4;1;-;-;5;2;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
110008;110008 COSTA MARQUES;9;4;4;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
110009;110009 ESPIGAO D'OESTE;45;29;11;5;8;2;12;-;-;1;2;-;4;-;-;-;-;-;-;-;-;5;5;-;-;-;1;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-
110010;110010 GUAJARA-MIRIM;53;39;10;4;4;12;16;1;2;-;2;-;1;-;-;1;-;-;-;-;-;3;5;-;-;-;1;-;-;-;-;-;1;2;-;-;-;1;1;-;-;-
