ID;codmun6num;municipnascanomalia;anomcong2014;anomcong2015;anomcong2016;anomcong2017;anomcong2018;anomcong2019;anomcong2020;anomcong2021;anomcong2022;anomcong2023
mun0001;110001;110001 ALTA FLORESTA D'OESTE;4;2;3;3;4;4;-;3;1;10
mun0002;110002;110002 ARIQUEMES;10;4;19;9;16;15;10;7;4;15
mun0003;110003;110003 CABIXI;2;-;-;1;1;1;-;-;-;-
mun0004;110004;110004 CACOAL;6;6;9;16;17;6;10;12;12;17
mun0005;110005;110005 CEREJEIRAS;-;2;3;1;-;3;1;1;-;4
mun0006;110006;110006 COLORADO DO OESTE;2;2;-;3;1;-;1;1;3;2
mun0007;110007;110007 CORUMBIARA;2;1;2;1;-;-;1;2;-;1
mun0008;110008;110008 COSTA MARQUES;6;1;-;2;3;2;1;3;-;3
mun0009;110009;110009 ESPIGAO D'OESTE;2;-;2;1;3;1;2;4;2;1
mun0010;110010;110010 GUAJARA-MIRIM;4;5;8;2;6;7;7;8;13;5
mun0011;110011;110011 JARU;4;4;10;4;7;5;2;5;4;17
mun0012;110012;110012 JI-PARANA;8;27;17;17;17;14;9;13;13;14
mun0013;110013;110013 MACHADINHO D'OESTE;2;3;4;3;3;2;6;2;1;4
mun0014;110014;110014 NOVA BRASILANDIA D'OESTE;3;1;4;-;2;4;2;1;5;2
mun0015;110015;110015 OURO PRETO DO OESTE;2;3;7;2;2;6;4;4;1;1
mun0016;110018;110018 PIMENTA BUENO;3;3;2;2;1;3;6;4;3;2
mun0017;110020;110020 PORTO VELHO;59;79;94;98;93;85;70;70;69;236
mun0018;110025;110025 PRESIDENTE MEDICI;-;6;5;2;1;-;1;-;-;5
mun0019;110026;110026 RIO CRESPO;1;-;-;1;1;1;1;1;-;-
mun0020;110028;110028 ROLIM DE MOURA;9;6;6;5;12;3;4;1;4;15
mun0021;110029;110029 SANTA LUZIA D'OESTE;1;1;-;1;-;1;1;-;1;1
mun0022;110030;110030 VILHENA;10;10;9;8;8;11;9;5;2;9
mun0023;110032;110032 SAO MIGUEL DO GUAPORE;4;6;2;4;1;2;7;3;1;6
mun0024;110033;110033 NOVA MAMORE;2;1;2;2;3;1;-;4;-;4
mun0025;110034;110034 ALVORADA D'OESTE;1;1;1;1;-;1;3;1;-;2
mun0026;110037;110037 ALTO ALEGRE DOS PARECIS;1;-;-;-;1;-;-;-;1;-
mun0027;110040;110040 ALTO PARAISO;1;3;1;-;1;3;4;1;1;6
mun0028;110045;110045 BURITIS;6;7;8;9;9;8;3;4;2;4
mun0029;110050;110050 NOVO HORIZONTE DO OESTE;3;-;-;1;-;-;1;-;-;1
mun0030;110060;110060 CACAULANDIA;2;-;-;-;2;-;-;-;-;1
mun0031;110070;110070 CAMPO NOVO DE RONDONIA;3;4;-;4;-;3;3;-;-;-
mun0032;110080;110080 CANDEIAS DO JAMARI;6;4;9;3;1;4;6;2;6;22
mun0033;110090;110090 CASTANHEIRAS;-;-;-;-;1;-;-;-;-;-
mun0034;110092;110092 CHUPINGUAIA;1;1;1;1;1;1;-;-;1;1
mun0035;110094;110094 CUJUBIM;-;2;2;2;3;2;3;1;1;1
mun0036;110100;110100 GOVERNADOR JORGE TEIXEIRA;2;1;-;1;-;1;-;-;-;-
mun0037;110110;110110 ITAPUA DO OESTE;2;1;1;-;2;1;-;1;2;2
mun0038;110120;110120 MINISTRO ANDREAZZA;-;-;1;-;-;-;-;-;1;1
mun0039;110130;110130 MIRANTE DA SERRA;2;1;3;1;-;-;-;1;2;-
mun0040;110140;110140 MONTE NEGRO;2;2;2;1;3;1;1;2;1;1
mun0041;110143;110143 NOVA UNIAO;-;-;1;1;3;2;-;-;-;2
mun0042;110145;110145 PARECIS;2;-;1;-;-;-;-;-;-;-
mun0043;110146;110146 PIMENTEIRAS DO OESTE;-;1;1;-;-;-;-;-;-;-
mun0044;110147;110147 PRIMAVERA DE RONDONIA;-;-;1;-;-;-;-;-;-;-
mun0045;110148;110148 SAO FELIPE D'OESTE;1;-;-;-;-;1;-;-;2;-
mun0046;110149;110149 SAO FRANCISCO DO GUAPORE;1;2;1;4;4;2;1;1;2;2
mun0047;110150;110150 SERINGUEIRAS;5;6;-;1;-;-;-;1;1;1
mun0048;110155;110155 TEIXEIROPOLIS;-;-;-;-;1;-;2;-;1;-
mun0049;110160;110160 THEOBROMA;1;1;-;2;1;1;3;1;-;1
mun0050;110170;110170 URUPA;-;-;1;1;2;5;1;2;2;2
mun0051;110175;110175 VALE DO ANARI;1;-;-;-;-;1;1;-;-;1
mun0052;110180;110180 VALE DO PARAISO;2;-;2;-;1;-;-;2;-;-
mun0053;120001;120001 ACRELANDIA;-;2;-;2;2;2;3;1;2;2
mun0054;120005;120005 ASSIS BRASIL;-;2;6;1;4;2;-;-;1;-
mun0055;120010;120010 BRASILEIA;1;1;3;6;2;4;2;3;4;2
mun0056;120013;120013 BUJARI;-;2;2;5;4;4;1;-;1;2
mun0057;120017;120017 CAPIXABA;3;4;4;5;4;4;2;3;-;3
mun0058;120020;120020 CRUZEIRO DO SUL;2;3;8;5;7;10;6;7;1;7
mun0059;120025;120025 EPITACIOLANDIA;-;2;3;3;1;1;4;1;-;2
mun0060;120030;120030 FEIJO;-;8;5;14;9;10;4;9;9;15
mun0061;120032;120032 JORDAO;-;4;2;2;4;2;-;4;2;1
mun0062;120033;120033 MANCIO LIMA;1;-;-;2;2;2;-;1;3;-
mun0063;120034;120034 MANOEL URBANO;-;2;3;2;2;1;2;-;1;3
mun0064;120035;120035 MARECHAL THAUMATURGO;-;-;2;3;-;2;2;2;2;3
mun0065;120038;120038 PLACIDO DE CASTRO;-;6;4;1;1;3;1;5;5;5
mun0066;120039;120039 PORTO WALTER;-;2;-;-;1;-;2;1;1;1
mun0067;120040;120040 RIO BRANCO;13;117;131;66;86;82;49;52;22;53
mun0068;120042;120042 RODRIGUES ALVES;-;-;1;-;3;-;-;1;2;-
mun0069;120043;120043 SANTA ROSA DO PURUS;1;3;1;3;3;1;1;2;1;4
mun0070;120045;120045 SENADOR GUIOMARD;-;6;3;2;4;4;5;4;1;5
mun0071;120050;120050 SENA MADUREIRA;-;5;6;-;4;3;-;3;1;6
mun0072;120060;120060 TARAUACA;-;4;4;1;1;5;5;5;3;10
mun0073;120070;120070 XAPURI;1;4;-;2;2;3;5;3;3;2
mun0074;120080;120080 PORTO ACRE;2;7;10;5;7;5;6;5;-;2
mun0075;130002;130002 ALVARAES;4;1;2;5;4;3;2;5;2;2
mun0076;130006;130006 AMATURA;1;2;2;2;1;3;1;4;3;2
mun0077;130008;130008 ANAMA;-;3;2;1;2;2;3;3;3;1
mun0078;130010;130010 ANORI;-;-;-;-;1;1;-;-;1;-
mun0079;130014;130014 APUI;1;3;-;3;1;2;3;1;5;5
mun0080;130020;130020 ATALAIA DO NORTE;2;2;1;2;5;4;7;5;3;5
mun0081;130030;130030 AUTAZES;5;7;2;2;-;2;3;3;6;3
mun0082;130040;130040 BARCELOS;1;1;1;1;-;3;1;2;-;1
mun0083;130050;130050 BARREIRINHA;1;6;7;7;4;7;11;4;10;5
mun0084;130060;130060 BENJAMIN CONSTANT;3;3;1;4;5;5;5;6;9;4
mun0085;130063;130063 BERURI;3;-;2;-;1;5;2;-;2;3
mun0086;130068;130068 BOA VISTA DO RAMOS;1;1;-;2;1;3;1;3;2;3
mun0087;130070;130070 BOCA DO ACRE;1;4;8;2;4;2;4;1;-;6
mun0088;130080;130080 BORBA;1;6;3;9;7;4;3;6;4;3
mun0089;130083;130083 CAAPIRANGA;1;3;1;1;1;2;-;5;3;1
mun0090;130090;130090 CANUTAMA;1;-;-;1;1;-;2;2;-;-
mun0091;130100;130100 CARAUARI;-;1;1;1;-;2;1;4;-;1
mun0092;130110;130110 CAREIRO;2;4;3;2;1;3;2;2;1;3
mun0093;130115;130115 CAREIRO DA VARZEA;-;2;1;2;-;-;-;2;-;3
mun0094;130120;130120 COARI;11;12;2;6;13;13;13;8;11;5
mun0095;130130;130130 CODAJAS;2;1;-;1;-;-;-;1;5;2
mun0096;130140;130140 EIRUNEPE;5;8;4;4;9;4;8;6;6;7
mun0097;130150;130150 ENVIRA;6;10;6;5;8;2;2;4;7;4
mun0098;130160;130160 FONTE BOA;2;4;2;4;-;1;-;-;1;2
mun0099;130165;130165 GUAJARA;1;-;1;-;1;2;1;2;1;-
mun0100;130170;130170 HUMAITA;3;1;9;5;4;7;7;5;4;8
mun0101;130180;130180 IPIXUNA;-;-;-;-;-;-;-;-;-;4
mun0102;130185;130185 IRANDUBA;7;3;6;3;3;5;5;5;6;3
mun0103;130190;130190 ITACOATIARA;3;1;3;8;6;11;2;3;1;6
mun0104;130195;130195 ITAMARATI;-;-;-;-;2;2;1;4;-;2
mun0105;130200;130200 ITAPIRANGA;1;-;1;1;3;2;1;3;1;-
mun0106;130210;130210 JAPURA;1;5;2;1;-;-;2;-;2;-
mun0107;130220;130220 JURUA;4;2;2;3;3;3;3;3;2;7
mun0108;130230;130230 JUTAI;1;1;4;4;7;3;2;1;3;5
mun0109;130240;130240 LABREA;-;-;-;-;-;1;1;1;-;-
mun0110;130250;130250 MANACAPURU;10;8;11;15;7;5;4;7;7;1
mun0111;130255;130255 MANAQUIRI;2;2;1;4;1;1;-;-;1;2
mun0112;130260;130260 MANAUS;273;211;199;168;174;197;173;175;144;134
mun0113;130270;130270 MANICORE;6;5;1;7;6;8;10;8;14;12
mun0114;130280;130280 MARAA;-;1;1;2;4;1;3;1;-;5
mun0115;130290;130290 MAUES;11;4;6;9;6;5;3;3;9;10
mun0116;130300;130300 NHAMUNDA;6;6;1;6;3;3;2;1;2;-
mun0117;130310;130310 NOVA OLINDA DO NORTE;3;-;-;1;1;-;-;1;-;1
mun0118;130320;130320 NOVO AIRAO;2;3;-;2;1;2;1;1;3;2
mun0119;130330;130330 NOVO ARIPUANA;-;2;2;2;1;2;2;-;-;1
mun0120;130340;130340 PARINTINS;7;15;11;11;12;14;7;8;8;19
mun0121;130350;130350 PAUINI;-;-;1;1;2;-;1;-;1;2
mun0122;130353;130353 PRESIDENTE FIGUEIREDO;3;2;2;5;-;2;2;1;4;1
mun0123;130356;130356 RIO PRETO DA EVA;3;3;4;1;-;6;1;-;2;-
mun0124;130360;130360 SANTA ISABEL DO RIO NEGRO;1;-;2;6;3;1;2;3;1;6
mun0125;130370;130370 SANTO ANTONIO DO ICA;5;10;2;7;6;2;6;5;5;5
mun0126;130380;130380 SAO GABRIEL DA CACHOEIRA;2;5;7;10;12;11;4;15;9;14
mun0127;130390;130390 SAO PAULO DE OLIVENCA;3;3;7;3;5;7;6;6;5;8
mun0128;130395;130395 SAO SEBASTIAO DO UATUMA;2;-;2;1;-;-;-;-;1;1
mun0129;130400;130400 SILVES;1;1;2;4;1;3;-;1;1;-
mun0130;130406;130406 TABATINGA;4;3;7;9;5;6;17;11;7;12
mun0131;130410;130410 TAPAUA;-;-;1;4;1;1;1;2;3;5
mun0132;130420;130420 TEFE;8;12;11;9;15;6;8;11;9;8
mun0133;130423;130423 TONANTINS;-;1;1;2;-;1;1;1;4;4
mun0134;130426;130426 UARINI;3;-;-;2;4;2;7;5;8;1
mun0135;130430;130430 URUCARA;1;1;1;1;-;-;3;-;4;1
mun0136;130440;130440 URUCURITUBA;-;-;1;3;3;3;2;-;1;1
mun0137;140002;140002 AMAJARI;2;5;2;3;7;4;4;3;3;4
mun0138;140005;140005 ALTO ALEGRE;3;7;3;1;4;5;-;5;3;4
mun0139;140010;140010 BOA VISTA;21;28;45;42;39;67;56;65;84;101
mun0140;140015;140015 BONFIM;2;2;-;-;2;5;4;5;5;6
mun0141;140017;140017 CANTA;1;2;2;4;3;3;2;4;7;6
mun0142;140020;140020 CARACARAI;1;-;3;2;1;-;4;3;1;6
mun0143;140023;140023 CAROEBE;-;-;-;1;2;2;1;-;-;1
mun0144;140028;140028 IRACEMA;2;-;2;-;2;-;-;1;2;1
mun0145;140030;140030 MUCAJAI;1;4;-;1;5;1;6;3;4;5
mun0146;140040;140040 NORMANDIA;2;2;5;4;5;3;2;8;5;3
mun0147;140045;140045 PACARAIMA;8;1;3;3;5;7;7;10;9;15
mun0148;140047;140047 RORAINOPOLIS;2;-;6;1;2;2;2;4;8;4
mun0149;140050;140050 SAO JOAO DA BALIZA;3;1;-;1;-;-;-;1;4;1
mun0150;140060;140060 SAO LUIZ;-;-;-;-;2;1;2;-;-;-
mun0151;140070;140070 UIRAMUTA;1;6;1;6;6;6;7;5;2;9
mun0152;150010;150010 ABAETETUBA;16;15;9;15;16;7;14;11;17;29
mun0153;150013;150013 ABEL FIGUEIREDO;1;-;-;1;-;-;-;1;-;1
mun0154;150020;150020 ACARA;8;2;4;3;4;2;4;8;5;15
mun0155;150030;150030 AFUA;3;6;2;9;30;25;23;20;44;31
mun0156;150034;150034 AGUA AZUL DO NORTE;1;2;3;-;4;1;2;1;3;7
mun0157;150040;150040 ALENQUER;7;3;1;12;7;11;8;18;13;8
mun0158;150050;150050 ALMEIRIM;4;4;3;5;6;9;6;3;8;4
mun0159;150060;150060 ALTAMIRA;18;13;3;3;4;16;13;14;2;6
mun0160;150070;150070 ANAJAS;1;1;-;-;-;-;1;1;1;3
mun0161;150080;150080 ANANINDEUA;31;23;31;34;53;23;31;36;42;46
mun0162;150085;150085 ANAPU;3;2;1;-;1;2;2;2;1;1
mun0163;150090;150090 AUGUSTO CORREA;1;-;-;1;2;2;1;3;4;3
mun0164;150095;150095 AURORA DO PARA;2;-;2;2;2;2;3;2;2;5
mun0165;150100;150100 AVEIRO;2;-;2;1;2;2;-;1;-;-
mun0166;150110;150110 BAGRE;2;2;6;3;4;3;1;4;3;1
mun0167;150120;150120 BAIAO;1;1;1;2;2;-;-;2;1;2
